"Priority","ID","Pattern_ID","Conditions","Impact","WCAG_SC","WCAG_Level","WCAG_Name","Rule_ID","Pages_Affected","Pct_Pages","Is_Template_Issue","Summary","Selector","Likely_Template","Drupal_File","Expected","Actual","Suggested_Fix","Drupal_Issue","Axe_URL","Instance_IDs","Affected_Page_Paths"
"11","DRUPAL-A11Y-011","DRU-FE1EFDAE","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","2","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","em:nth-child(4)","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-2F192593; INS-A658A5E7","/admin/people; /admin/people"
"12","DRUPAL-A11Y-012","DRU-CC36FB25","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","2.4.3","A","Focus Order","tabindex","2","0%","no","tabindex: Ensure tabindex attribute values are not greater than 0","#edit-submit","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/tabindex?application=playwright","INS-8D919E9F; INS-CAB80BF0","/buttons; /buttons"
"13","DRUPAL-A11Y-013","DRU-83608BCC","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","2.4.3","A","Focus Order","tabindex","2","0%","no","tabindex: Ensure tabindex attribute values are not greater than 0","#edit-danger","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/tabindex?application=playwright","INS-A357FA62; INS-1A8E3C8A","/buttons; /buttons"
"14","DRUPAL-A11Y-014","DRU-038DEA2A","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","2.4.3","A","Focus Order","tabindex","2","0%","no","tabindex: Ensure tabindex attribute values are not greater than 0","#edit-cancel","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/tabindex?application=playwright","INS-4881B6B1; INS-156540A8","/buttons; /buttons"
"15","DRUPAL-A11Y-015","DRU-8F0039FE","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","2.4.3","A","Focus Order","tabindex","2","0%","no","tabindex: Ensure tabindex attribute values are not greater than 0","#edit-submit--N","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/tabindex?application=playwright","INS-00588EC7; INS-3F6254E0","/buttons; /buttons"
"16","DRUPAL-A11Y-016","DRU-B405CBDA","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","2.4.3","A","Focus Order","tabindex","2","0%","no","tabindex: Ensure tabindex attribute values are not greater than 0","#edit-danger--N","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/tabindex?application=playwright","INS-2C9CAF62; INS-C767C3EA","/buttons; /buttons"
"17","DRUPAL-A11Y-017","DRU-BC780FC5","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","2.4.3","A","Focus Order","tabindex","2","0%","no","tabindex: Ensure tabindex attribute values are not greater than 0","#edit-cancel--N","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/tabindex?application=playwright","INS-4C49F093; INS-E7E947B6","/buttons; /buttons"
"18","DRUPAL-A11Y-018","DRU-A891EE9E","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","1.3.1","A","Info and Relationships","label-title-only","2","0%","no","label-title-only: Ensure that every form element has a visible label and is not solely labeled usi","#edit-checkbox-hidden-label-value","unknown","See likely_template above","","","Replace title-only labels with aria-label or a visible/visually-hidden <label> element.","","https://dequeuniversity.com/rules/axe/4.11/label-title-only?application=playwright","INS-9D772808; INS-2C5FBD36","/contact/checkbox_radio; /contact/checkbox_radio"
"19","DRUPAL-A11Y-019","DRU-25E03AAB","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","1.3.1","A","Info and Relationships","label-title-only","2","0%","no","label-title-only: Ensure that every form element has a visible label and is not solely labeled usi","#edit-checkbox-hidden-label-disabled-value","unknown","See likely_template above","","","Replace title-only labels with aria-label or a visible/visually-hidden <label> element.","","https://dequeuniversity.com/rules/axe/4.11/label-title-only?application=playwright","INS-CB68FC02; INS-50910191","/contact/checkbox_radio; /contact/checkbox_radio"
"20","DRUPAL-A11Y-020","DRU-E7766A2A","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","1.3.1","A","Info and Relationships","label-title-only","2","0%","no","""Select all rows"" checkbox is labeled only by its title attribute","#edit-table > thead > tr > .select-all.gin--sticky-bulk-select > .form-checkbox.form-boolean[title=""Select all rows in this table""]","unknown","core/themes/claro/templates/classy/dataset/table.html.twig     core/themes/admin/templates/dataset/table.html.twig","Checkbox has a visible or visually-hidden <label>, or aria-label","input[title=""Select all rows in this table""] — title is the sole label source","Replace the title-only label with aria-label:  <!-- Before (broken) --> <input type=""checkbox"" title=""{{ 'Select all rows in this table'|t }}"">  <!-- After (fixed) --> <input type=""checkbox""   aria-label=""{{ 'Select all rows in this table'|t }}"">","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/label-title-only?application=playwright","INS-DA8EC130; INS-15986FAB","/table; /table"
"21","DRUPAL-A11Y-021","DRU-F2674CD0","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","1.3.1","A","Info and Relationships","label-title-only","2","0%","no","""Select all rows"" checkbox is labeled only by its title attribute","#edit-table-empty > thead > tr > .select-all.gin--sticky-bulk-select > .form-checkbox.form-boolean[title=""Select all rows in this table""]","unknown","core/themes/claro/templates/classy/dataset/table.html.twig     core/themes/admin/templates/dataset/table.html.twig","Checkbox has a visible or visually-hidden <label>, or aria-label","input[title=""Select all rows in this table""] — title is the sole label source","Replace the title-only label with aria-label:  <!-- Before (broken) --> <input type=""checkbox"" title=""{{ 'Select all rows in this table'|t }}"">  <!-- After (fixed) --> <input type=""checkbox""   aria-label=""{{ 'Select all rows in this table'|t }}"">","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/label-title-only?application=playwright","INS-24B11422; INS-96198CAB","/table; /table"
"22","DRUPAL-A11Y-022","DRU-697B741E","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid10""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-1E6C57C0; INS-836FD897","/tabledrag; /tabledrag"
"23","DRUPAL-A11Y-023","DRU-0C411B6A","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid10-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-77F43484; INS-F23B5BB2","/tabledrag; /tabledrag"
"24","DRUPAL-A11Y-024","DRU-E9627991","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid20""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-12A6655F; INS-E3691E26","/tabledrag; /tabledrag"
"25","DRUPAL-A11Y-025","DRU-B20BCC83","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid20-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-463A943E; INS-E3E3F502","/tabledrag; /tabledrag"
"26","DRUPAL-A11Y-026","DRU-3A7586F8","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid30""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-1EE2D602; INS-47D713EE","/tabledrag; /tabledrag"
"27","DRUPAL-A11Y-027","DRU-ADE99258","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid40""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-BAA09E91; INS-6914A3F2","/tabledrag; /tabledrag"
"28","DRUPAL-A11Y-028","DRU-5FAA8485","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid50""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-19D9E650; INS-F1BA6329","/tabledrag; /tabledrag"
"29","DRUPAL-A11Y-029","DRU-4534282A","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid50-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-2F30409D; INS-7153533A","/tabledrag; /tabledrag"
"30","DRUPAL-A11Y-030","DRU-A012DB4A","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid60""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-11612407; INS-6F0C9429","/tabledrag; /tabledrag"
"31","DRUPAL-A11Y-031","DRU-9385D9F3","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid60-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-8C98F215; INS-7E72035D","/tabledrag; /tabledrag"
"32","DRUPAL-A11Y-032","DRU-8C1FB0A9","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid70""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-67F50851; INS-C064D2AC","/tabledrag; /tabledrag"
"33","DRUPAL-A11Y-033","DRU-D3CA978F","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid80""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-37ED96AD; INS-D10E50E9","/tabledrag; /tabledrag"
"34","DRUPAL-A11Y-034","DRU-89CB7A8B","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid100""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-530D0F3C; INS-C4CDCD8A","/tabledrag; /tabledrag"
"35","DRUPAL-A11Y-035","DRU-709AA34F","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","2","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid100-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-1DD3D540; INS-8547CE7B","/tabledrag; /tabledrag"
"36","DRUPAL-A11Y-036","DRU-E828092B","claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","2","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","tr[data-drupal-selector=""edit-blocks-claro-help""] > td:nth-child(5) > .dropbutton-wrapper.dropbutton-multiple[data-drupal-ajax-container=""""] > .dropbutton-widget > .dropbutton.dropbutton--extrasmall.dropbutton--multiple > .enable.dropbutton__item.dropbutton-action > a","(theme-specific template)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-BE832DAC; INS-32A7C8C3","/admin/structure/block; /admin/structure/block"
"37","DRUPAL-A11Y-037","DRU-827BB73C","claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","2","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".block-disabled.draggable[data-once=""claroTabledrag""]:nth-child(23) > td:nth-child(5) > .dropbutton-wrapper.dropbutton-multiple[data-drupal-ajax-container=""""] > .dropbutton-widget > .dropbutton.dropbutton--extrasmall.dropbutton--multiple > .enable.dropbutton__item.dropbutton-action > a","block.html.twig","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-CC4E5B84; INS-4F001513","/admin/structure/block; /admin/structure/block"
"38","DRUPAL-A11Y-038","DRU-FAE67242","claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","2","0%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-hidden-message > td[colspan=""9""]","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-57557F7B; INS-1E91D181","/admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default"
"39","DRUPAL-A11Y-039","DRU-2F451A16","admin-dark::dark::mobile | admin::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-submission""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-E4C3D7C6","/admin/structure/types/add"
"40","DRUPAL-A11Y-040","DRU-16707B29","admin-dark::dark::mobile | admin::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-workflow""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-C6066AD3","/admin/structure/types/add"
