"Priority","ID","Pattern_ID","Conditions","Impact","Classification","WCAG_SC","WCAG_Level","WCAG_Name","Suggested_Issue_Tags","Rule_ID","Pages_Affected","Pct_Pages","Is_Template_Issue","Summary","Selector","Likely_Template","Drupal_File","Expected","Actual","Suggested_Fix","Drupal_Issue","Axe_URL","Instance_IDs","Affected_Page_Paths"
"11","DRUPAL-A11Y-011","DRU-8D2B75C4","claro::light::desktop | claro::light::mobile | claro::light::mobile-landscape | claro::light::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".enable > a","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-6308B25F; INS-3D0FF38F; INS-BEE6118A; INS-AEED493E","/admin/structure/block; /admin/structure/block; /admin/structure/block; /admin/structure/block"
"12","DRUPAL-A11Y-012","DRU-05EC5EAB","claro::light::desktop | claro::light::mobile | claro::light::mobile-landscape | claro::light::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-hidden-message > td[colspan=""9""]","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-0FCEAFFE; INS-D6B1A3D6; INS-087176ED; INS-059307A6","/admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default"
"13","DRUPAL-A11Y-013","DRU-E2078A3F","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","8","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-select-single-disabled--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-0E76C28B; INS-E120C355; INS-FB144740; INS-C5933BC8; INS-2346D213; INS-D993BAAA; INS-EB5DE0E5; INS-63E1281F","/contact/select; /contact/select; /contact/select; /contact/select; /contact/select; /contact/select; /contact/select; /contact/select"
"14","DRUPAL-A11Y-014","DRU-AD2BFF67","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","32","2%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-message-disabled-N-value--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-23FBFBC5; INS-184F3C8C; INS-84F351C7; INS-FB02B62F; INS-D3B13DB8; INS-4DF4FD36; INS-E32D2ADF; INS-EFA87849; INS-4A14B725; INS-8CDC8A67; INS-9CDD38A6; INS-3B14D2E3; INS-ADC8F1BC; INS-7A90E833; INS-E5520753; INS-2E1E2A77; INS-63C77EA4; INS-49D9CAB3; INS-B6166925; INS-DF84FB05; INS-5BA8A50E; INS-368462D4; INS-38B0103B; INS-366342A8; INS-1EF47892; INS-87F2DAEF; INS-2AF11D19; INS-DD76FD16; INS-9393BEEE; INS-8127BB01; INS-3A9556AB; INS-23A8FB93","/contact/textarea; /contact/textarea; /contact/textarea; /contact/textarea; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"15","DRUPAL-A11Y-015","DRU-41A4004B","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","8","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-formatted-disabled-N--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-6FF6C19D; INS-6B30DA13; INS-F3FEE6EE; INS-D0AABC7A; INS-D0E16C06; INS-420C4112; INS-2B338435; INS-1AB56E5E","/contact/textarea; /contact/textarea; /contact/textarea; /contact/textarea; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"16","DRUPAL-A11Y-016","DRU-280E210A","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-formatted-summary-disabled-N-summary--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-D82B666B; INS-8CD5C8B1; INS-8CC1DFD5; INS-08AF0F28","/contact/textarea; /contact/textarea; /contact/textarea; /contact/textarea"
"17","DRUPAL-A11Y-017","DRU-26F035FD","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","8","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-formatted-summary-disabled-N--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-778F76BE; INS-E94AB84A; INS-0F4545D5; INS-0AEF6A1B; INS-B3BD7010; INS-79F2CD1F; INS-460A78C6; INS-206F1284","/contact/textarea; /contact/textarea; /contact/textarea; /contact/textarea; /contact/textarea; /contact/textarea; /contact/textarea; /contact/textarea"
"18","DRUPAL-A11Y-018","DRU-A2F30B05","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","8","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".form-item__prefix.is-disabled","form-element.html.twig","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-CA204D13; INS-76082784; INS-04E72809; INS-01C0B249; INS-76505633; INS-B9E475DE; INS-A5AC29D9; INS-79339354","/contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"19","DRUPAL-A11Y-019","DRU-9E85665A","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","8","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-link-disabled-N-uri--description > ul > li:nth-child(1)","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-6F4F5D98; INS-19F5F29D; INS-7C5539AA; INS-CC2A3148; INS-31BA1251; INS-CF01F41D; INS-AF1F8AF0; INS-1CA14945","/contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"20","DRUPAL-A11Y-020","DRU-F3991A4A","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","20","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-link-disabled-N-uri--description > ul > li:nth-child(2) > em:nth-child(1)","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-B8FBD9FA; INS-A4B1B37D; INS-249EDAC4; INS-A1A675FD; INS-1FCB177E; INS-E34F60B2; INS-9BBF7781; INS-10BE73CE; INS-D9AEE371; INS-C6A160B2; INS-98883E61; INS-D024BCE1; INS-EEC060D1; INS-2DF905FD; INS-6640BBDF; INS-3A814057; INS-0AAC7B2D; INS-B064C463; INS-429205D5; INS-D1AA1DD6","/contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"21","DRUPAL-A11Y-021","DRU-F62785C7","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-link-title-disabled-N > legend > .fieldset__label.is-disabled","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-D17BC578; INS-F49874C9; INS-5236FB25; INS-2A684A9E","/contact/textform; /contact/textform; /contact/textform; /contact/textform"
"22","DRUPAL-A11Y-022","DRU-5CEC2B2B","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","8","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-link-title-disabled-N-uri--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-5DA20BE9; INS-CB7886E8; INS-DB082DC5; INS-037105F5; INS-EE669E1E; INS-28024E12; INS-EFBBB3F6; INS-794D97B7","/contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"23","DRUPAL-A11Y-023","DRU-1844614F","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","20","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-link-title-disabled-N-uri--description > em:nth-child(1)","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-3D02A223; INS-F04205AB; INS-F34726D4; INS-9BFA3BF8; INS-254D4236; INS-326DFD71; INS-E3FF49E5; INS-63711B77; INS-924B2F59; INS-2F01D8DC; INS-55586EEB; INS-29B16340; INS-194D889B; INS-0537E12C; INS-A700A4C6; INS-5827FECF; INS-63CD29F5; INS-601261C6; INS-190E3892; INS-F3698B9F","/contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"24","DRUPAL-A11Y-024","DRU-947532A5","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-timestamp-disabled-N-value--label","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-C2E1ED21; INS-478DF6D9; INS-20694906; INS-6900C902","/contact/textform; /contact/textform; /contact/textform; /contact/textform"
"25","DRUPAL-A11Y-025","DRU-2E4D3107","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","8","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-date-disabled-N-value--label","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-1017B5C0; INS-75A9695C; INS-D0DC9E70; INS-7A99D9CA; INS-9E7690FB; INS-2AF8E90E; INS-4B2D4C9F; INS-13DA6ECC","/contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"26","DRUPAL-A11Y-026","DRU-83F8AB83","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","8","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-datetime-disabled-N > legend > .fieldset__label.is-disabled","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-EB602501; INS-F431CE8A; INS-9286EC98; INS-F51F538E; INS-E9426898; INS-87B99184; INS-8CA3B929; INS-5F13DCCB","/contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"27","DRUPAL-A11Y-027","DRU-4D02AC76","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","12","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-datetime-disabled-N--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-207E5EB8; INS-F21FBC1D; INS-76C084ED; INS-88D273CA; INS-99EBDADD; INS-7F162EDA; INS-C6C59829; INS-7FAD8950; INS-5E7B6047; INS-ED5E3C1D; INS-8268C78C; INS-C7C588A8","/contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"28","DRUPAL-A11Y-028","DRU-E559EF47","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","8","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-daterange-disabled-N-end-value--label","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-C47CFE6B; INS-1209D3E5; INS-2677BEF2; INS-452EB680; INS-3EFE0339; INS-213586A2; INS-25523AC1; INS-C981CCC5","/contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform; /contact/textform"
"29","DRUPAL-A11Y-029","DRU-4D55785C","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-daterange-ad-disabled-N > legend > .fieldset__label.is-disabled","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-39823A47; INS-55CCADAE; INS-F0B4A620; INS-DA94CED4","/contact/textform; /contact/textform; /contact/textform; /contact/textform"
"30","DRUPAL-A11Y-030","DRU-90FB867F","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-daterange-ad-disabled-N-value--label","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-63FE25A5; INS-507EA512; INS-AF008E6F; INS-E7A5E995","/contact/textform; /contact/textform; /contact/textform; /contact/textform"
"31","DRUPAL-A11Y-031","DRU-08EA9B05","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-daterange-ad-disabled-N--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-EBFFDBCB; INS-CEA528AB; INS-13693F98; INS-58BDD7EA","/contact/textform; /contact/textform; /contact/textform; /contact/textform"
"32","DRUPAL-A11Y-032","DRU-581297ED","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-color-disabled-N-value--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-845AAF83; INS-601967CB; INS-22E957C4; INS-6811A00B","/contact/textform; /contact/textform; /contact/textform; /contact/textform"
