"Priority","ID","Pattern_ID","Screen","Impact","WCAG_SC","WCAG_Level","WCAG_Name","Rule_ID","Pages_Affected","Pct_Pages","Is_Template_Issue","Summary","Selector","Likely_Template","Drupal_File","Expected","Actual","Suggested_Fix","Drupal_Issue","Axe_URL","Instance_IDs","Affected_Page_Paths"
"11","DRUPAL-A11Y-011","DRU-34AFC21D","mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-social-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-5C55015C","/admin/structure/block"
"12","DRUPAL-A11Y-012","DRU-60714829","mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-sidebar-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-8F3C65E8","/admin/structure/block"
"13","DRUPAL-A11Y-013","DRU-80D85F22","mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-content_below-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-F57DFBAB","/admin/structure/block"
"14","DRUPAL-A11Y-014","DRU-DBD71992","mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-footer_top-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-66E9C03F","/admin/structure/block"
"15","DRUPAL-A11Y-015","DRU-12C757FE","desktop","moderate","1.3.6","A","Identify Purpose","region","7","24%","YES","Local task tab headings (#primary-tabs-title) are outside any landmark region","#primary-tabs-title","unknown","core/themes/claro/templates/menu-local-tasks.html.twig     core/themes/olivero/templates/navigation/menu-local-tasks.html.twig","The <h2> heading is inside the <nav> it labels, or the <nav> itself is inside a landmark","<h2 id=""primary-tabs-title""> is a sibling of <nav>, and the nav may be outside main/aside/etc.","Move the heading inside the <nav> it labels:  {# Before #} <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2> <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">…</nav>  {# After — h2 moves inside nav #} <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">   <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2>   … </nav>","https://www.drupal.org/project/drupal/issues/3318396","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-BC3B17C9; INS-94EA0EA1; INS-ED5789D1; INS-6261BD8B; INS-66F0411F; INS-5D29050A; INS-53475AE4","/user/login; /user/password; /admin; /admin/content; /admin/appearance; /admin/modules; /admin/people"
"16","DRUPAL-A11Y-016","DRU-C31EA5D4","desktop","moderate","1.3.6","A","Identify Purpose","region","5","17%","YES","Primary admin actions block is rendered outside any ARIA landmark","#block-olivero-primary-admin-actions > .block__content","block.html.twig","core/themes/olivero/templates/layout/page.html.twig     Core block placement configuration","Block content is inside a <main>, <nav>, <aside>, or equivalent landmark","#block-olivero-primary-admin-actions .block__content is outside all landmarks","Wrap the admin actions block in a <nav> in the page template, or ensure block region is inside an appropriate landmark:  {# Olivero page.html.twig — ensure admin actions region is inside <main> or wrap it #} <nav aria-label=""{{ 'Page actions'|t }}"">   {{ page.primary_admin_actions }} </nav>","https://www.drupal.org/project/drupal/issues/3318396","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-23FF1F89; INS-95F014D7; INS-0E93B528; INS-B061B58E; INS-B73C4425","/admin/content; /admin/structure/types; /admin/structure/taxonomy; /admin/people; /admin/config/content/formats"
"17","DRUPAL-A11Y-017","DRU-954A78DB","desktop","moderate","1.3.6","A","Identify Purpose","landmark-no-duplicate-contentinfo","3","10%","YES","Status messages block uses role=""contentinfo"", duplicating the page <footer>",".messages-list__item","unknown","core/themes/claro/templates/misc/status-messages.html.twig     core/modules/system/templates/status-messages.html.twig","Status messages use role=""status"" (non-error) or role=""alert"" (errors)","<div role=""contentinfo"" aria-labelledby=""…""> — conflicts with the page footer landmark","Change the outer wrapper role based on message type:  {# Before (broken) #} <div role=""contentinfo"" aria-labelledby=""{{ title_ids[type] }}""…>  {# After (fixed) #} {%- set msg_role = (type == 'error') ? 'alert' : 'status' -%} <div role=""{{ msg_role }}"" aria-labelledby=""{{ title_ids[type] }}""…>","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/landmark-no-duplicate-contentinfo?application=playwright","INS-06B9A6FE; INS-43FA80E2; INS-1A9B720A","/admin/appearance; /admin/modules; /admin/config"
"18","DRUPAL-A11Y-018","DRU-E877649B","mobile","moderate","1.3.6","A","Identify Purpose","region","2","7%","no","Local task tab headings (#primary-tabs-title) are outside any landmark region","#primary-tabs-title","unknown","core/themes/claro/templates/menu-local-tasks.html.twig     core/themes/olivero/templates/navigation/menu-local-tasks.html.twig","The <h2> heading is inside the <nav> it labels, or the <nav> itself is inside a landmark","<h2 id=""primary-tabs-title""> is a sibling of <nav>, and the nav may be outside main/aside/etc.","Move the heading inside the <nav> it labels:  {# Before #} <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2> <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">…</nav>  {# After — h2 moves inside nav #} <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">   <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2>   … </nav>","https://www.drupal.org/project/drupal/issues/3318396","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-4AA1B1B9; INS-CA3F486A","/user/login; /admin"
"19","DRUPAL-A11Y-019","DRU-FE39ED4A","desktop","moderate","1.3.1","A","Info and Relationships","page-has-heading-one","1","3%","no","Homepage has no <h1> heading — screen reader users cannot identify page topic","html","unknown","core/themes/olivero/templates/layout/page--front.html.twig     Site configuration (site name / front page node)","Every page contains exactly one <h1> that identifies the page","Olivero front page renders no <h1>; the site name in the header is not an <h1>","Option A — Make site name an h1 on the front page only:  {# page--front.html.twig #} {% if is_front %}   <h1 class=""site-name"">{{ site_name }}</h1> {% else %}   <div class=""site-name"">{{ site_name }}</div> {% endif %}  Option B — Ensure the promoted front page node has an h1 title rendered.","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/page-has-heading-one?application=playwright","INS-C56E21D1","/"
"20","DRUPAL-A11Y-020","DRU-2DD6D8F2","mobile","moderate","1.3.1","A","Info and Relationships","page-has-heading-one","1","3%","no","Homepage has no <h1> heading — screen reader users cannot identify page topic","html","unknown","core/themes/olivero/templates/layout/page--front.html.twig     Site configuration (site name / front page node)","Every page contains exactly one <h1> that identifies the page","Olivero front page renders no <h1>; the site name in the header is not an <h1>","Option A — Make site name an h1 on the front page only:  {# page--front.html.twig #} {% if is_front %}   <h1 class=""site-name"">{{ site_name }}</h1> {% else %}   <div class=""site-name"">{{ site_name }}</div> {% endif %}  Option B — Ensure the promoted front page node has an h1 title rendered.","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/page-has-heading-one?application=playwright","INS-13EEEC14","/"
"21","DRUPAL-A11Y-021","DRU-4D24D5C1","desktop","moderate","1.3.6","A","Identify Purpose","region","1","3%","no","Local task tab headings (#primary-tabs-title) are outside any landmark region","#secondary-tabs-title","unknown","core/themes/claro/templates/menu-local-tasks.html.twig     core/themes/olivero/templates/navigation/menu-local-tasks.html.twig","The <h2> heading is inside the <nav> it labels, or the <nav> itself is inside a landmark","<h2 id=""primary-tabs-title""> is a sibling of <nav>, and the nav may be outside main/aside/etc.","Move the heading inside the <nav> it labels:  {# Before #} <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2> <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">…</nav>  {# After — h2 moves inside nav #} <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">   <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2>   … </nav>","https://www.drupal.org/project/drupal/issues/3318396","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-F6796033","/admin/structure/block"
"22","DRUPAL-A11Y-022","DRU-994C4E5C","desktop","moderate","1.3.1","A","Info and Relationships","heading-order","1","3%","no","Admin Configuration page has heading-order violations (h3 appears before h2)",".layout-column.layout-column--half:nth-child(2) > .panel:nth-child(1) > .panel__title","unknown","core/modules/system/templates/system-admin-index.html.twig     core/themes/claro/templates (panel/section templates)","Heading levels increment by one: h1 → h2 → h3","Panel titles use <h3> but their section headings may be absent or at wrong level","Audit the heading hierarchy on /admin/config and adjust panel titles:  {# system-admin-index.html.twig — ensure section uses h2, panel uses h3 #} <h2 class=""system-admin-section__title"">{{ section.title }}</h2> <div class=""panel"">   <h3 class=""panel__title"">{{ panel.title }}</h3> </div>","https://www.drupal.org/project/drupal/issues/3318398","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright","INS-16429CD3","/admin/config"
